Reference, Value, Footprint, Datasheet, Código Digikey
R1,2.2k,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-2.2KARCT-ND
R2,2.2k,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-2.2KARCT-ND
R4,2.2k,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-2.2KARCT-ND
R3,2.2k,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-2.2KARCT-ND
C1,1nF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1147-1-ND
C2,1nF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1147-1-ND
C3,1nF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1147-1-ND
C4,1nF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1147-1-ND
C5,1nF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1147-1-ND
C6,1nF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1147-1-ND
C7,1nF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1147-1-ND
C8,1nF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1147-1-ND
C9,1nF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1147-1-ND
C10,1nF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1147-1-ND
C11,1nF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1147-1-ND
C12,1nF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1147-1-ND
C13,1nF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1147-1-ND
C14,1nF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1147-1-ND
C15,1nF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1147-1-ND
C16,1nF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1147-1-ND
R13,2.2k,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-2.2KARCT-ND
R14,2.2k,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-2.2KARCT-ND
R16,2.2k,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-2.2KARCT-ND
R15,2.2k,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-2.2KARCT-ND
R17,2.2k,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-2.2KARCT-ND
R18,2.2k,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-2.2KARCT-ND
C17,1nF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1147-1-ND
C18,1nF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1147-1-ND
U1,TPD2E001,TO_SOT_Packages_SMD:SOT-23-5,http://www.ti.com/lit/ds/symlink/tpd2e001.pdf,296-21883-1-ND
U2,TPD2E001,TO_SOT_Packages_SMD:SOT-23-5,http://www.ti.com/lit/ds/symlink/tpd2e001.pdf,296-21883-1-ND
U3,TPD2E001,TO_SOT_Packages_SMD:SOT-23-5,http://www.ti.com/lit/ds/symlink/tpd2e001.pdf,296-21883-1-ND
U4,TPD2E001,TO_SOT_Packages_SMD:SOT-23-5,http://www.ti.com/lit/ds/symlink/tpd2e001.pdf,296-21883-1-ND
U5,TPD2E001,TO_SOT_Packages_SMD:SOT-23-5,http://www.ti.com/lit/ds/symlink/tpd2e001.pdf,296-21883-1-ND
U6,TPD2E001,TO_SOT_Packages_SMD:SOT-23-5,http://www.ti.com/lit/ds/symlink/tpd2e001.pdf,296-21883-1-ND
U7,TPD2E001,TO_SOT_Packages_SMD:SOT-23-5,http://www.ti.com/lit/ds/symlink/tpd2e001.pdf,296-21883-1-ND
U8,TPD2E001,TO_SOT_Packages_SMD:SOT-23-5,http://www.ti.com/lit/ds/symlink/tpd2e001.pdf,296-21883-1-ND
U9,TPD2E001,TO_SOT_Packages_SMD:SOT-23-5,http://www.ti.com/lit/ds/symlink/tpd2e001.pdf,296-21883-1-ND
U15,TPD2E001,TO_SOT_Packages_SMD:SOT-23-5,http://www.ti.com/lit/ds/symlink/tpd2e001.pdf,296-21883-1-ND
R26,2.2k,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-2.2KARCT-ND
R25,2.2k,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-2.2KARCT-ND
C41,1nF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1147-1-ND
C42,1nF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1147-1-ND
J1,Entradas Analógicas,Pin_Headers:Pin_Header_Straight_1x20,http://multimedia.3m.com/mws/media/548112O/3mtm-pin-strip-header-ts2181.pdf,3M9455-ND
R12,2.2k,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-2.2KARCT-ND
R11,2.2k,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-2.2KARCT-ND
R10,2.2k,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-2.2KARCT-ND
R9,2.2k,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-2.2KARCT-ND
R8,2.2k,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-2.2KARCT-ND
R7,2.2k,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-2.2KARCT-ND
R6,2.2k,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-2.2KARCT-ND
R5,2.2k,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-2.2KARCT-ND
U10,ADS1299,Housings_QFP:TQFP-64_10x10mm_Pitch0.5mm,http://www.ti.com/lit/ds/symlink/ads1299.pdf,296-35009-ND
C19,0.1uF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1170-1-ND
C20,10uF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/19/KEM_C1006_X5R_SMD.pdf,399-8012-1-ND
C21,1uF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1284-1-ND
C23,1uF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1284-1-ND
C22,100uF,Capacitors_SMD:C_1206,http://www.kemet.com/Lists/ProductCatalog/Attachments/19/KEM_C1006_X5R_SMD.pdf,399-11631-1-ND
C24,0.1uF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1170-1-ND
C25,1uF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1284-1-ND
C26,0.1uF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1170-1-ND
C27,1uF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1284-1-ND
C28,0.1uF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1170-1-ND
C29,1uF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1284-1-ND
R19,0,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-0.0ARCT-ND
R20,390k,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-390KARCT-ND
C35,0.01uF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1158-1-ND
JP2,JUMPER,Pin_Headers:Pin_Header_Straight_1x02,http://multimedia.3m.com/mws/media/548112O/3mtm-pin-strip-header-ts2181.pdf,3M9455-ND
JP1,JUMPER3,Pin_Headers:Pin_Header_Straight_1x03,http://multimedia.3m.com/mws/media/548112O/3mtm-pin-strip-header-ts2181.pdf,3M9455-ND
U14,OPA2376,SMD_Packages:SOIC-8-N,http://www.ti.com/lit/ds/symlink/opa2376.pdf,296-22564-1-ND
R21,10k,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-10KARCT-ND
C36,1uF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1284-1-ND
C37,1uF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1284-1-ND
JP3,JUMPER3,Pin_Headers:Pin_Header_Straight_1x03,http://multimedia.3m.com/mws/media/548112O/3mtm-pin-strip-header-ts2181.pdf,3M9455-ND
R23,0,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-0.0ARCT-ND
R22,0,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-0.0ARCT-ND
C38,1nF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1147-1-ND
R24,0,Resistors_SMD:R_0805,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-0.0ARCT-ND
JP4,JUMPER3,Pin_Headers:Pin_Header_Straight_1x03,http://multimedia.3m.com/mws/media/548112O/3mtm-pin-strip-header-ts2181.pdf,3M9455-ND
C39,1uF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1284-1-ND
C40,1uF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1284-1-ND
J2,IOs Multipropósito,Pin_Headers:Pin_Header_Straight_1x05,http://multimedia.3m.com/mws/media/548112O/3mtm-pin-strip-header-ts2181.pdf,3M9455-ND
Jumper_STD1,J_STD,footprints:Jumpers_Default,NONE
Jumper_Config1,J_CFG,footprints:Jumpers_Default,NONE
U13,NCP1117ST33T3G,TO_SOT_Packages_SMD:SOT-223,http://www.onsemi.com/pub_link/Collateral/NCP1117LP-D.PDF,NCP1117LPST33T3GOSCT-ND
C33,10uF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/19/KEM_C1006_X5R_SMD.pdf,399-8012-1-ND
C34,10uF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/19/KEM_C1006_X5R_SMD.pdf,399-8012-1-ND
C31,0.1uF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1170-1-ND
C32,10uF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/19/KEM_C1006_X5R_SMD.pdf,399-8012-1-ND
U11,ADuM6401,SMD_Packages:SO-16-W,http://www.analog.com/media/en/technical-documentation/data-sheets/ADuM6400_6401_6402_6403_6404.pdf,ADUM6401CRWZ-ND
U12,ADuM2401,SMD_Packages:SO-16-W,http://www.analog.com/media/en/technical-documentation/data-sheets/ADuM2400_2401_2402.pdf,ADUM2401ARWZ-RLCT-ND
XA1,Conn_Poncho2P_2x_20x2,Poncho_Esqueleto:Conn_Poncho_Izquierdo,https://media.digikey.com/PDF/Data%20Sheets/Sullins%20PDFs/xRxCzzzDxxN-RC_11636-B.pdf,S2011EC-20-ND
L2,HZ0805E601R-10,Resistors_SMD:R_0805,http://cdn.lairdtech.com/home/brandworld/files/Catalog_EMI%20Filtering%20&%20RF%20Inductors.pdf,240-2399-1-ND
L1,HZ0805E601R-10,Resistors_SMD:R_0805,http://cdn.lairdtech.com/home/brandworld/files/Catalog_EMI%20Filtering%20&%20RF%20Inductors.pdf,240-2399-1-ND
C43,0.1uF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/19/KEM_C1006_X5R_SMD.pdf,399-1170-1-ND
C44,10uF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/19/KEM_C1006_X5R_SMD.pdf,399-8012-1-ND
C45,0.1uF,Capacitors_SMD:C_0805,http://www.kemet.com/Lists/ProductCatalog/Attachments/19/KEM_C1006_X5R_SMD.pdf,399-1170-1-ND
FD1,Fiducial,Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop,NONE
FD2,Fiducial,Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop,NONE
FD3,Fiducial,Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop,NONE
FD4,Fiducial,Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop,NONE
MH2,PCB_HOLE,Connect:1pin,NONE
MH3,PCB_HOLE,Connect:1pin,NONE
MH4,PCB_HOLE,Connect:1pin,NONE
MH1,PCB_HOLE,Connect:1pin,NONE
FD9,Fiducial,Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop,NONE
FD5,Fiducial,Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop,NONE
FD6,Fiducial,Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop,NONE
FD7,Fiducial,Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop,NONE
FD8,Fiducial,Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop,NONE
SC_2,Slot_2,Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop,NONE
SC_1,Slot_1,Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop,NONE
